gene,mean_ovarian carcinoma,mean_adjacent endometriosis,log2FC,pvalue,padj
TSPYL2,7.943718317758622,10.0067330268,-2.0630147090413775,4.151232819933194e-06,0.00018359262320406927
LSM4,8.29241927675862,6.9708286462,1.32159063055862,4.25381792771703e-06,0.00018359262320406927
EXOSC4,7.794293646137932,6.777088351900001,1.0172052942379315,4.551883219935602e-06,0.00018359262320406927
EIF4A2,11.883490293448274,12.548001171,-0.6645108775517254,1.7466082955913177e-05,0.0005283490094163736
HYOU1,9.337209524793103,8.300848843299999,1.036360681493104,0.00010529841476864245,0.0019197675144290063
DCP1A,8.54317645537931,9.1230180002,-0.57984154482069,0.00010992146691320392,0.0019197675144290063
EEF2,13.968333744137931,14.731914738999999,-0.7635809948620675,0.00011106093058680202,0.0019197675144290063
BBC3,6.027752901172414,5.3030197368000005,0.7247331643724131,0.00014207785440843149,0.002148927547927526
PPP1R15A,9.134669151965516,10.8031592355,-1.6684900835344845,0.0001957610028901163,0.002541145534998483
DKC1,7.848293250965516,6.9788845061,0.8694087448655159,0.00021053927999861355,0.002541145534998483
HSP90B1,12.647509917241377,11.551592282000001,1.095917635241376,0.00024816579778780143,0.002541145534998483
XBP1,11.627347924827589,10.3638269889,1.2635209359275894,0.00025406379811549466,0.002541145534998483
PSAT1,9.362240628137931,6.4993298618,2.862910766337931,0.00027301563599157254,0.002541145534998483
NHP2,6.787975241068965,6.248528969600001,0.5394462714689645,0.0004679572846828655,0.003946717232353491
SHC1,10.927262301344827,11.605766016999999,-0.6785037156551716,0.0004892624668206807,0.003946717232353491
EXOSC5,7.695783660827585,6.990730676499998,0.7050529843275868,0.0006412873085607747,0.004849735270990859
CANX,11.19386965,10.425032492,0.7688371580000002,0.0009724916874294769,0.006921852598762747
SSR1,10.603924416344828,9.8075358205,0.796388595844828,0.001130821700998558,0.007230227078798292
PDIA6,11.91502161137931,10.824404608,1.0906170033793092,0.0011353249131997318,0.007230227078798292
DCTN1,9.49490234537931,10.049833166700001,-0.5549308213206903,0.0014069568402083545,0.008512088883260544
MTHFD2,8.641674731999998,7.6447007632999995,0.996973968699999,0.0019151674890952358,0.011035012675263025
SPCS1,9.983477188724137,9.3532562343,0.6302209544241375,0.00246895603784543,0.013579258208149864
BANF1,7.078842871758622,6.5299306572999996,0.548912214458622,0.0027755891153498128,0.014602012302492492
CALR,13.036761507241378,12.16452807,0.8722334372413787,0.0032513271100776523,0.016392107513308163
RPS14,5.658784689689656,4.9368206086,0.7219640810896566,0.0034501047955546034,0.01669850721048428
ATF4,10.421986761758621,10.837551006,-0.41556424424137894,0.0036646735058444707,0.01705482670027619
HSPA5,10.568819025034482,9.650236167,0.9185828580344833,0.00426561308658654,0.01852948470924511
EXOC2,8.370026632413794,7.924551436499999,0.4454751959137946,0.004287814643461678,0.01852948470924511
POP4,7.79029994575862,7.164168912399999,0.6261310333586207,0.005299032566102702,0.02210975656891127
SRPRB,7.79310593462069,7.068668793700001,0.7244371409206893,0.006004141803795763,0.02342542549151465
BAG3,9.930782395827585,10.5707985112,-0.6400161153724149,0.006073230819838641,0.02342542549151465
YWHAZ,7.7604084549999985,6.8965840267,0.8638244282999983,0.006195153848995611,0.02342542549151465
SEC31A,12.323828686896553,12.941717152,-0.617888465103448,0.006538397220522024,0.023974123141914088
RRP9,6.944615150862069,6.1159026564,0.828712494462069,0.007133631001120184,0.025387333856927714
ALDH18A1,9.35234772172414,8.4882897625,0.8640579592241409,0.007864073157412327,0.027187224344196903
NABP1,9.30599635824138,8.1991291326,1.1068672256413805,0.00810505646875858,0.02724199535332745
PDIA3,10.956568268689658,10.0916494253,0.864918843389658,0.00847251384768104,0.02770741015052448
NOP56,10.443777154689656,9.892759555100001,0.5510175995896542,0.00885079341886036,0.028182789570581672
STC2,7.442242136344827,6.2292226147,1.213019521644827,0.010372801093811031,0.03218228031669577
BAX,9.145374148448276,8.580936904,0.5644372444482766,0.010671194435214892,0.03228036316652505
CNOT6,8.592243590482758,8.1622747291,0.4299688613827577,0.01132883295978141,0.033433872881306115
NOLC1,10.176831599586208,9.706827703600002,0.4700038959862063,0.014257728069150485,0.04107583562779068
WFS1,7.354049757689655,8.1719021594,-0.8178524017103452,0.014997067748481708,0.04220105110619272
TUBB2A,6.931193194862069,8.075660902100001,-1.144467707237932,0.016876478027552346,0.04641031457576895
XPOT,8.40764914762069,8.051142443,0.35650670462069023,0.018147845204266468,0.048797539327027614
CCL2,10.187895475551723,11.373803240800001,-1.1859077652482775,0.019474536245014457,0.049926677325728655
SLC7A5,8.60039950762069,7.268093664199999,1.3323058434206905,0.019839010813753943,0.049926677325728655
NFYA,9.321939626758622,8.969220296500001,0.3527193302586209,0.019954992292687285,0.049926677325728655
PDIA5,9.141238967517243,8.6492258076,0.49201315991724215,0.020218241231080198,0.049926677325728655
CNOT4,9.110773886999999,9.5908176936,-0.48004380660000123,0.020748339686853027,0.05021098204218433
CHAC1,5.316497382931034,4.6286715427,0.6878258402310333,0.024400531730342054,0.057891457634733114
CEBPG,6.159582902931034,5.719298612999999,0.44028428993103486,0.02588913414242291,0.060242023677561006
FUS,9.99530108362069,9.7044819555,0.29081912812069,0.029665276405980403,0.0677263857570496
VEGFA,11.947323259172414,10.8608027973,1.0865204618724142,0.032483545894325644,0.07278720468913709
NOP14,9.842813549068964,9.605066084399999,0.23774746466896524,0.04443773610390889,0.09776301942859955
HSPA9,10.492860938482757,10.135829971899998,0.3570309665827587,0.04823856322904375,0.10422975269132667
