gene,mean_ovarian carcinoma,mean_atypical endometriosis,log2FC,pvalue,padj
DKC1,7.848293250965516,6.46108912338889,1.3872041275766263,4.522854507453393e-11,2.3337471050383352e-09
EXOSC4,7.794293646137932,6.585621463444443,1.2086721826934888,5.6815223592233064e-11,2.3337471050383352e-09
BBC3,6.027752901172414,4.913727150333333,1.1140257508390805,5.7861498472024846e-11,2.3337471050383352e-09
EEF2,13.968333744137931,15.099019134444445,-1.130685390306514,1.0633269667643905e-10,3.216564074462281e-09
DCTN1,9.49490234537931,10.462225340888887,-0.9673229955095763,1.7380295901206618e-10,4.206031608092002e-09
LSM4,8.29241927675862,6.852531374055556,1.439887902703064,9.271200392647076e-10,1.869692079183827e-08
EIF4A2,11.883490293448274,12.745664578333333,-0.8621742848850591,1.1480916497693178e-09,1.9845584231726778e-08
PSAT1,9.362240628137931,5.782610065277777,3.579630562860154,9.738143812330065e-09,1.4728942516149223e-07
WFS1,7.354049757689655,8.969162691222223,-1.6151129335325685,2.980245212787297e-08,3.975574513644493e-07
SSR1,10.603924416344828,9.486529132944444,1.1173952834003842,3.551143223062197e-08,3.975574513644493e-07
TSPYL2,7.943718317758622,9.692070978333332,-1.7483526605747102,3.784392313144238e-08,3.975574513644493e-07
CEBPG,6.159582902931034,5.226037640222222,0.9335452627088126,3.942718525928423e-08,3.975574513644493e-07
CNOT4,9.110773886999999,10.073038393055556,-0.9622645060555577,5.85288251439875e-08,5.447682955709606e-07
SPCS1,9.983477188724137,8.994174278222221,0.989302910501916,6.641229461900091e-08,5.73991974921365e-07
HSP90B1,12.647509917241377,11.355845989999999,1.2916639272413786,1.1701471667308374e-07,9.439187144962088e-07
HYOU1,9.337209524793103,8.22089782211111,1.1163117026819922,1.6997042590428945e-07,1.285401345901189e-06
VEGFA,11.947323259172414,9.951808145222222,1.9955151139501925,1.8264328703914826e-07,1.2999904548080552e-06
YWHAZ,7.7604084549999985,6.437196205,1.3232122499999983,3.1793776062147657e-07,2.137248279733259e-06
EXOSC9,8.059025047034483,7.403033874944445,0.6559911720900384,4.180660902148703e-07,2.6624208903157526e-06
EXOC2,8.370026632413794,7.7602198455555556,0.609806786858238,5.086366561583019e-07,3.027224365457083e-06
NOLC1,10.176831599586208,9.445439163166666,0.7313924364195419,5.253860468975103e-07,3.027224365457083e-06
PDIA6,11.91502161137931,10.577465352722223,1.3375562586570862,5.850376426280336e-07,3.2177070344541846e-06
NFYA,9.321939626758622,8.667117133333335,0.6548224934252875,8.854010749908516e-07,4.657979568430132e-06
HSPA9,10.492860938482757,9.806380698611111,0.6864802398716456,1.73447053877203e-06,8.744622299642318e-06
EIF4E,9.189134055793104,8.255635741944445,0.9334983138486592,2.526819840384971e-06,1.2229808027463259e-05
PPP1R15A,9.134669151965516,10.786543902666667,-1.6518747507011504,3.493705307775048e-06,1.62591670092608e-05
EIF2S1,7.746723852724139,6.968194643611111,0.778529209113028,5.1060053442800035e-06,2.2882468394736312e-05
RRP9,6.944615150862069,5.823599813555556,1.1210153373065133,8.295662811492519e-06,3.584911429252124e-05
HSPA5,10.568819025034482,9.443917155444446,1.1249018695900368,9.162030089959415e-06,3.822778072017549e-05
